origin,destination,origin_iso3,destination_iso3,n_researchers,phd_year_min,phd_year_max,phd_year_mean,origin_year_min,origin_year_max,origin_year_mean,route
RU,GE,RUS,GEO,8,1975,1997,1988,1952,1990,1976,RU → GE
PK,NZ,PAK,NZL,8,2010,2016,2014,1995,2006,2002,PK → NZ
BG,DE,BGR,DEU,8,2001,2014,2009,1987,2009,1999,BG → DE
DE,RU,DEU,RUS,8,1994,2016,2005,1974,2012,1997,DE → RU
EG,ID,EGY,IDN,8,2007,2016,2012,1982,2003,1995,EG → ID
CL,EC,CHL,ECU,8,2016,2016,2016,1991,2012,2003,CL → EC
ES,PL,ESP,POL,8,2005,2016,2010,1993,2010,2002,ES → PL
IR,KR,IRN,KOR,8,2011,2016,2015,1993,2008,2001,IR → KR
JP,DK,JPN,DNK,8,2000,2016,2009,1996,2007,2000,JP → DK
IT,AE,ITA,ARE,8,1994,2011,2003,1983,2009,1995,IT → AE
JP,CH,JPN,CHE,8,1994,2016,2006,1982,2007,1997,JP → CH
EG,IT,EGY,ITA,8,2013,2016,2015,2000,2011,2004,EG → IT
AU,IT,AUS,ITA,8,1997,2015,2009,1983,2013,2003,AU → IT
LT,US,LTU,USA,8,1981,2010,2002,1970,2000,1990,LT → US
UA,NL,UKR,NLD,8,2005,2016,2012,1990,2011,2002,UA → NL
MY,PK,MYS,PAK,8,1999,2014,2010,1994,2011,2006,MY → PK
CU,PT,CUB,PRT,8,1997,2016,2011,1980,2004,1994,CU → PT
CU,CA,CUB,CAN,8,2005,2016,2012,1987,2007,1998,CU → CA
SE,CA,SWE,CAN,8,2005,2014,2010,1971,2011,2000,SE → CA
BR,PE,BRA,PER,8,1994,2009,2000,1988,2005,1994,BR → PE
RU,IE,RUS,IRL,8,1986,2016,2005,1977,2004,1993,RU → IE
RU,JP,RUS,JPN,8,1990,2004,1997,1972,1995,1986,RU → JP
KE,GB,KEN,GBR,8,2004,2015,2012,1990,2006,2000,KE → GB
SE,IR,SWE,IRN,8,1997,2012,2006,1993,2009,2002,SE → IR
IT,SA,ITA,SAU,8,1991,2013,2005,1978,2009,1999,IT → SA
VE,FR,VEN,FRA,8,2000,2016,2011,1990,2008,1998,VE → FR
AE,US,ARE,USA,8,2013,2016,2016,1988,2010,2003,AE → US
DZ,MY,DZA,MYS,8,2003,2016,2012,1989,2007,2000,DZ → MY
EC,BR,ECU,BRA,8,2016,2016,2016,2000,2007,2002,EC → BR
CH,BR,CHE,BRA,8,1977,2013,1999,1974,2009,1992,CH → BR
CA,TW,CAN,TWN,8,1996,2016,2006,1990,2005,1997,CA → TW
IT,QA,ITA,QAT,8,1996,2016,2011,1979,2011,1998,IT → QA
FR,AR,FRA,ARG,8,2000,2010,2006,1992,2008,2002,FR → AR
DZ,SA,DZA,SAU,8,1989,2012,2004,1972,2006,1992,DZ → SA
BG,ES,BGR,ESP,8,2003,2012,2008,1968,2000,1989,BG → ES
SG,DE,SGP,DEU,8,2006,2016,2012,1998,2006,2003,SG → DE
NZ,DE,NZL,DEU,8,2002,2016,2012,1990,2008,2004,NZ → DE
CO,CH,COL,CHE,8,2005,2016,2013,1975,2004,1996,CO → CH
CL,CO,CHL,COL,8,2001,2014,2008,1962,2012,1997,CL → CO
KR,IN,KOR,IND,8,2006,2012,2010,2001,2012,2007,KR → IN
CN,NP,CHN,NPL,8,2010,2010,2010,1982,2011,2001,CN → NP
KE,CN,KEN,CHN,8,2016,2016,2016,1995,2010,2007,KE → CN
CL,DE,CHL,DEU,8,1981,2016,2008,1968,2007,1997,CL → DE
PA,ES,PAN,ESP,8,2010,2016,2015,1978,2008,1996,PA → ES
IQ,AU,IRQ,AUS,8,1990,2016,2007,1977,2002,1988,IQ → AU
BD,SA,BGD,SAU,8,1996,2016,2009,1985,2007,1999,BD → SA
TW,CA,TWN,CAN,8,2001,2016,2013,1985,2010,2000,TW → CA
LK,NZ,LKA,NZL,8,1999,2016,2008,1979,2012,1993,LK → NZ
GR,QA,GRC,QAT,7,2006,2015,2010,1990,2005,1996,GR → QA
PL,NL,POL,NLD,7,2008,2016,2010,1995,2006,2000,PL → NL
UA,CH,UKR,CHE,7,2006,2013,2010,1996,2005,2001,UA → CH
UG,US,UGA,USA,7,1990,2016,2008,1979,2008,1996,UG → US
EG,JP,EGY,JPN,7,2007,2016,2015,1988,2008,2002,EG → JP
UA,IL,UKR,ISR,7,1988,2016,2002,1962,2003,1979,UA → IL
EG,KW,EGY,KWT,7,1981,2008,1994,1968,2005,1990,EG → KW
IT,ZA,ITA,ZAF,7,2007,2016,2012,1992,2009,2002,IT → ZA
CA,CO,CAN,COL,7,1985,2015,2001,1970,2009,1991,CA → CO
CA,KE,CAN,KEN,7,1997,2014,2008,1990,2010,2002,CA → KE
MM,MY,MMR,MYS,7,2009,2009,2009,1963,1999,1981,MM → MY
IT,CL,ITA,CHL,7,1997,2008,2002,1992,2007,1999,IT → CL
CA,FI,CAN,FIN,7,1985,2016,2011,1974,2010,1996,CA → FI
RO,NL,ROU,NLD,7,2006,2016,2012,1990,2011,2001,RO → NL
ID,DE,IDN,DEU,7,2016,2016,2016,2003,2006,2005,ID → DE
RO,BE,ROU,BEL,7,2005,2016,2012,1992,2008,2001,RO → BE
GB,LU,GBR,LUX,7,1985,2013,2002,1971,2005,1993,GB → LU
GB,IS,GBR,ISL,7,1979,2005,1992,1974,2004,1990,GB → IS
US,UG,USA,UGA,7,1999,2011,2006,1975,2010,2000,US → UG
GB,SD,GBR,SDN,7,1967,1984,1980,1965,2012,1979,GB → SD
HN,US,HND,USA,7,1975,2016,1998,1967,2010,1995,HN → US
DE,EC,DEU,ECU,7,1980,2012,1998,1970,2009,1998,DE → EC
VN,CA,VNM,CAN,7,2007,2016,2013,1979,2006,1996,VN → CA
VE,DE,VEN,DEU,7,2010,2016,2014,1997,2007,2001,VE → DE
VE,AU,VEN,AUS,7,2005,2016,2012,1991,2002,1999,VE → AU
DE,IL,DEU,ISR,7,2001,2016,2011,1981,2010,2000,DE → IL
VN,DE,VNM,DEU,7,2015,2016,2016,1998,2005,2002,VN → DE
HK,SG,HKG,SGP,7,2003,2013,2009,1991,2007,1999,HK → SG
IT,PL,ITA,POL,7,2008,2013,2011,1999,2009,2005,IT → PL
IL,DE,ISR,DEU,7,1994,2014,2007,1983,2004,1998,IL → DE
CA,BE,CAN,BEL,7,1999,2016,2009,1984,2011,2003,CA → BE
EG,ES,EGY,ESP,7,2005,2016,2014,1988,2007,2001,EG → ES
CH,CN,CHE,CHN,7,1986,2014,2004,1962,2007,1995,CH → CN
JP,ES,JPN,ESP,7,1980,2009,1998,1967,2001,1986,JP → ES
TT,GB,TTO,GBR,7,2013,2016,2015,1989,2006,1997,TT → GB
SK,AT,SVK,AUT,7,2007,2016,2013,1980,2009,1998,SK → AT
IN,BT,IND,BTN,7,2000,2005,2002,1980,2004,1997,IN → BT
BG,CH,BGR,CHE,7,1994,2016,2006,1979,2005,1991,BG → CH
IQ,SE,IRQ,SWE,7,1993,2016,2008,1978,2002,1993,IQ → SE
RU,AZ,RUS,AZE,7,1991,2000,1996,1969,2007,1988,RU → AZ
BG,IT,BGR,ITA,7,1978,2004,1994,1973,2011,1995,BG → IT
TH,SE,THA,SWE,7,2010,2014,2012,1996,2008,2002,TH → SE
PK,FI,PAK,FIN,7,2012,2016,2015,1997,2010,2003,PK → FI
CU,GB,CUB,GBR,7,2004,2015,2011,1985,2002,1997,CU → GB
GB,BH,GBR,BHR,7,1986,2003,1993,1980,2007,1993,GB → BH
DK,IS,DNK,ISL,7,1979,2010,2000,1972,2005,1991,DK → IS
ET,ZA,ETH,ZAF,7,2012,2016,2015,1998,2007,2003,ET → ZA
FI,DE,FIN,DEU,7,2007,2016,2013,1993,2010,2003,FI → DE
ET,CA,ETH,CAN,7,2006,2016,2013,1990,2009,1999,ET → CA
MY,SG,MYS,SGP,7,2010,2016,2014,1975,2007,2002,MY → SG
GB,ET,GBR,ETH,7,1976,2016,2001,1973,2012,1996,GB → ET
BD,IT,BGD,ITA,7,2015,2016,2016,2003,2012,2007,BD → IT
UG,GB,UGA,GBR,7,2012,2016,2015,1986,2004,1999,UG → GB
IE,SE,IRL,SWE,7,1984,2016,2007,1973,2009,2002,IE → SE
UG,KE,UGA,KEN,7,2011,2015,2013,1990,2008,1999,UG → KE
MW,GB,MWI,GBR,7,2013,2016,2015,1987,2007,1997,MW → GB
MW,ZA,MWI,ZAF,7,1999,2016,2011,1980,2003,1992,MW → ZA
LV,SE,LVA,SWE,7,1986,2016,2005,1976,2006,1992,LV → SE
UA,CA,UKR,CAN,7,1991,2016,2006,1972,2005,1994,UA → CA
EG,FR,EGY,FRA,7,2011,2016,2014,1997,2007,2001,EG → FR
RS,ME,SRB,MNE,7,1993,2013,2008,1975,2005,1994,RS → ME
LB,ES,LBN,ESP,7,2008,2016,2014,1989,2011,2002,LB → ES
BG,SE,BGR,SWE,7,1989,2011,2000,1973,2006,1988,BG → SE
NP,JP,NPL,JPN,7,2009,2016,2015,1996,2012,2003,NP → JP
BY,DE,BLR,DEU,7,1995,2016,2008,1978,2006,1997,BY → DE
SG,DK,SGP,DNK,7,2001,2015,2010,1993,2008,2001,SG → DK
SE,AT,SWE,AUT,7,2000,2016,2008,1993,2006,2001,SE → AT
SE,BE,SWE,BEL,7,2006,2016,2013,1997,2010,2006,SE → BE
SA,CA,SAU,CAN,7,2013,2016,2015,1998,2004,2001,SA → CA
RU,JO,RUS,JOR,7,1987,2003,1995,1975,2000,1988,RU → JO
BR,MX,BRA,MEX,7,1990,2016,2006,1988,2009,2000,BR → MX
BG,PT,BGR,PRT,7,1990,2016,2003,1978,2005,1987,BG → PT
DK,ES,DNK,ESP,7,1995,2016,2007,1990,2010,2001,DK → ES
ET,NO,ETH,NOR,7,2009,2016,2014,1997,2009,2001,ET → NO
JP,PK,JPN,PAK,7,2004,2014,2009,2001,2011,2006,JP → PK
RU,UZ,RUS,UZB,7,1963,2016,1981,1959,2006,1976,RU → UZ
NZ,JP,NZL,JPN,7,1968,2016,2003,2003,2011,2007,NZ → JP
PE,MX,PER,MEX,7,1990,2015,2005,1970,2004,1989,PE → MX
SI,AT,SVN,AUT,7,1997,2013,2008,1986,2010,2002,SI → AT
KE,ZA,KEN,ZAF,7,1989,2016,2006,1976,2009,1992,KE → ZA
CN,MY,CHN,MYS,7,2006,2016,2012,1992,2009,2002,CN → MY
SE,IS,SWE,ISL,7,1981,2016,1999,1972,2006,1990,SE → IS
AR,CH,ARG,CHE,7,1994,2016,2009,1970,2007,1995,AR → CH
MX,EC,MEX,ECU,7,2006,2011,2008,1974,2011,1995,MX → EC
PH,GB,PHL,GBR,7,2010,2010,2010,1987,2003,1995,PH → GB
PH,SA,PHL,SAU,7,2012,2015,2014,1976,2008,1997,PH → SA
SD,CN,SDN,CHN,7,2016,2016,2016,1995,2003,1998,SD → CN
SD,AE,SDN,ARE,7,2002,2006,2003,1961,2006,1986,SD → AE
GE,RU,GEO,RUS,7,1988,1988,1988,1964,1997,1976,GE → RU
GH,DE,GHA,DEU,7,1978,2016,2010,1970,2008,1999,GH → DE
PL,IE,POL,IRL,7,2004,2016,2012,1989,2009,1998,PL → IE
UY,US,URY,USA,7,1974,2016,2003,1966,2005,1992,UY → US
GH,CN,GHA,CHN,7,2016,2016,2016,2002,2008,2005,GH → CN
CA,NO,CAN,NOR,7,2011,2016,2013,1998,2010,2005,CA → NO
IT,NZ,ITA,NZL,7,1994,2016,2007,1972,2009,1995,IT → NZ
CA,TN,CAN,TUN,7,1996,2016,2005,1990,2008,1996,CA → TN
HU,CA,HUN,CAN,7,1977,2009,1996,1963,2000,1982,HU → CA
MX,CL,MEX,CHL,7,1996,2011,2007,1985,2008,1998,MX → CL
HU,ES,HUN,ESP,6,2002,2013,2008,1993,2008,2001,HU → ES
IT,LU,ITA,LUX,6,2007,2015,2013,2001,2009,2005,IT → LU
CA,TR,CAN,TUR,6,2004,2014,2011,1999,2010,2004,CA → TR
IT,RU,ITA,RUS,6,2002,2015,2009,1991,2010,2003,IT → RU
IT,JP,ITA,JPN,6,2006,2012,2009,1998,2009,2002,IT → JP
DE,AE,DEU,ARE,6,1996,2006,2001,1989,2013,1998,DE → AE
MX,DK,MEX,DNK,6,1989,2016,2009,1989,2008,2000,MX → DK
ZA,GH,ZAF,GHA,6,2009,2012,2011,2007,2011,2008,ZA → GH
CD,ZA,COD,ZAF,6,2010,2016,2013,1981,2006,1996,CD → ZA
AR,SE,ARG,SWE,6,2001,2016,2009,1970,2008,1990,AR → SE
GE,DE,GEO,DEU,6,1988,2016,2002,1971,2007,1993,GE → DE
GH,CA,GHA,CAN,6,2013,2016,2015,2001,2009,2005,GH → CA
VN,TW,VNM,TWN,6,2015,2016,2016,1999,2009,2005,VN → TW
VE,PT,VEN,PRT,6,2014,2016,2016,1988,2008,2000,VE → PT
DZ,CA,DZA,CAN,6,1995,2013,2006,1975,2006,1991,DZ → CA
KE,AU,KEN,AUS,6,2006,2016,2011,1978,2009,1998,KE → AU
EC,CL,ECU,CHL,6,2016,2016,2016,1995,2010,2004,EC → CL
IN,TZ,IND,TZA,6,2002,2002,2002,1981,2009,2001,IN → TZ
RU,ZA,RUS,ZAF,6,1985,1997,1990,1972,2002,1983,RU → ZA
FR,CM,FRA,CMR,6,1988,2012,1997,1977,2009,1986,FR → CM
FR,CZ,FRA,CZE,6,2007,2016,2012,1996,2011,2006,FR → CZ
IN,JO,IND,JOR,6,1992,2004,1998,1977,1999,1990,IN → JO
SG,TW,SGP,TWN,6,2005,2016,2011,1994,2009,2000,SG → TW
PA,US,PAN,USA,6,2010,2016,2014,1983,2003,1995,PA → US
KR,AE,KOR,ARE,6,1995,2016,2007,1981,2004,1993,KR → AE
KR,HK,KOR,HKG,6,2009,2015,2011,1989,2003,1997,KR → HK
JP,NZ,JPN,NZL,6,1987,2016,2005,1968,2007,1993,JP → NZ
RU,HU,RUS,HUN,6,1987,2015,2002,1967,2003,1979,RU → HU
RU,IN,RUS,IND,6,1989,2012,2002,1980,1996,1990,RU → IN
RU,LV,RUS,LVA,6,1975,2005,1990,1960,1997,1976,RU → LV
BR,NO,BRA,NOR,6,2013,2016,2016,2001,2006,2004,BR → NO
FJ,AU,FJI,AUS,6,2005,2016,2011,1976,2008,1997,FJ → AU
NO,AU,NOR,AUS,6,2009,2016,2012,1998,2013,2005,NO → AU
LB,BE,LBN,BEL,6,1996,2016,2009,1986,2008,2002,LB → BE
BH,QA,BHR,QAT,6,,,,1985,1997,1991,BH → QA
SG,CA,SGP,CAN,6,2006,2016,2013,1998,2007,2002,SG → CA
SG,IN,SGP,IND,6,2004,2012,2008,1998,2007,2003,SG → IN
SG,MY,SGP,MYS,6,1977,2011,1997,1969,2007,1990,SG → MY
SY,FR,SYR,FRA,6,2014,2016,2016,1995,2008,2000,SY → FR
CN,IL,CHN,ISR,6,2013,2016,2015,2001,2005,2003,CN → IL
CN,IN,CHN,IND,6,2004,2008,2007,2001,2005,2004,CN → IN
CL,CH,CHL,CHE,6,2012,2016,2015,1991,2010,2002,CL → CH
RU,EE,RUS,EST,6,2000,2008,2005,1971,1997,1985,RU → EE
IQ,CA,IRQ,CAN,6,1988,2016,2007,1972,1999,1991,IQ → CA
CM,ZA,CMR,ZAF,6,2012,2016,2014,1993,2006,2000,CM → ZA
JP,MX,JPN,MEX,6,1989,2011,2001,1984,2008,1997,JP → MX
EE,GB,EST,GBR,6,2000,2016,2012,1995,2009,2004,EE → GB
TT,US,TTO,USA,6,1998,2008,2003,1992,2002,2000,TT → US
NL,PK,NLD,PAK,6,2010,2014,2012,2005,2009,2007,NL → PK
BG,BE,BGR,BEL,6,1996,2016,2008,1976,2013,1998,BG → BE
TN,CA,TUN,CAN,6,1998,2016,2012,1988,2008,2001,TN → CA
BE,NO,BEL,NOR,6,1991,2011,2004,1967,2003,1995,BE → NO
BE,EC,BEL,ECU,6,2003,2016,2010,1972,2010,2000,BE → EC
PK,AT,PAK,AUT,6,1986,2016,2010,1980,2004,1998,PK → AT
PK,OM,PAK,OMN,6,1998,2010,2005,1980,2004,1996,PK → OM
IR,OM,IRN,OMN,6,2010,2016,2014,1986,2004,1996,IR → OM
IS,DK,ISL,DNK,6,2008,2016,2013,1986,2010,2004,IS → DK
FI,AU,FIN,AUS,6,2003,2016,2010,1989,2009,2001,FI → AU
BY,UA,BLR,UKR,6,,,,1968,1994,1979,BY → UA
PK,DK,PAK,DNK,6,2012,2016,2014,1991,2008,2002,PK → DK
BD,FI,BGD,FIN,6,2016,2016,2016,2000,2006,2004,BD → FI
NP,DE,NPL,DEU,6,2005,2016,2012,1994,2005,2001,NP → DE
NP,DK,NPL,DNK,6,2009,2016,2014,1998,2005,2002,NP → DK
NP,GB,NPL,GBR,6,2013,2016,2015,1998,2006,2002,NP → GB
BE,IE,BEL,IRL,6,1998,2016,2007,1995,2011,2004,BE → IE
FR,NC,FRA,NCL,6,1992,2006,2001,1982,2012,1996,FR → NC
FR,TH,FRA,THA,6,1988,2015,2002,1979,2010,1994,FR → TH
TR,IR,TUR,IRN,6,1997,2015,2009,1990,2011,2004,TR → IR
GB,BN,GBR,BRN,6,2003,2013,2008,1984,2008,1999,GB → BN
LT,CH,LTU,CHE,6,2000,2016,2009,1991,2005,1998,LT → CH
CR,ES,CRI,ESP,6,2007,2016,2013,1996,2006,2002,CR → ES
LK,JP,LKA,JPN,6,1989,2016,2010,1972,2006,1997,LK → JP
KZ,GB,KAZ,GBR,6,2000,2016,2010,1992,2005,2000,KZ → GB
NL,TR,NLD,TUR,6,2001,2014,2008,1989,2010,2000,NL → TR
IL,CN,ISR,CHN,6,2001,2016,2008,1986,2006,1997,IL → CN
IL,NL,ISR,NLD,6,1999,2011,2003,1991,2009,1999,IL → NL
TW,HK,TWN,HKG,6,1971,2011,1994,1961,2011,1985,TW → HK
NL,ID,NLD,IDN,6,1998,2009,2003,1990,2009,1998,NL → ID
NL,IE,NLD,IRL,6,1995,2016,2008,1983,2010,1997,NL → IE
CA,CL,CAN,CHL,6,2001,2011,2006,1993,2008,2002,CA → CL
IR,IN,IRN,IND,6,2011,2016,2015,1996,2007,2002,IR → IN
LV,GB,LVA,GBR,6,1989,2016,2000,1978,2005,1987,LV → GB
IE,PT,IRL,PRT,6,1993,2015,2004,1974,2005,1991,IE → PT
LV,RU,LVA,RUS,6,1972,2013,1992,1959,2001,1975,LV → RU
LY,GB,LBY,GBR,6,2016,2016,2016,1988,2006,2002,LY → GB
AZ,TR,AZE,TUR,6,1981,2016,2000,1971,2004,1992,AZ → TR
UA,AT,UKR,AUT,6,1972,1987,1982,1967,1991,1978,UA → AT
AU,PH,AUS,PHL,6,1995,2011,2002,1972,2007,1993,AU → PH
US,GH,USA,GHA,6,1984,2009,2003,1975,2005,1995,US → GH
AU,FI,AUS,FIN,6,2005,2016,2013,1979,2007,1997,AU → FI
NG,HK,NGA,HKG,6,1993,2016,2012,1977,2007,1999,NG → HK
EG,KR,EGY,KOR,6,2011,2016,2015,1994,2005,1999,EG → KR
IT,IL,ITA,ISR,6,2013,2016,2014,1980,2006,1993,IT → IL
RS,CH,SRB,CHE,6,1993,2016,2009,1981,2008,1999,RS → CH
CL,BE,CHL,BEL,6,2012,2016,2014,1997,2008,2001,CL → BE
EG,PS,EGY,PSE,6,2004,2014,2008,1989,2011,2001,EG → PS
JO,KW,JOR,KWT,6,1999,2012,2006,1986,2005,1998,JO → KW
MY,IQ,MYS,IRQ,6,2011,2014,2012,2005,2011,2009,MY → IQ
MY,JP,MYS,JPN,6,2016,2016,2016,2000,2009,2005,MY → JP
GB,LB,GBR,LBN,6,1985,2009,1998,1977,2005,1994,GB → LB
US,NP,USA,NPL,6,1995,2013,2003,1982,2006,1994,US → NP
ID,SE,IDN,SWE,6,2006,2016,2010,1991,2007,1998,ID → SE
DE,GR,DEU,GRC,6,1999,2014,2004,1979,2001,1988,DE → GR
MA,FR,MAR,FRA,6,1987,2016,2002,1964,2007,1990,MA → FR
DE,QA,DEU,QAT,6,1990,2012,2004,1984,2010,1998,DE → QA
US,TN,USA,TUN,6,1988,2016,2001,1981,1990,1986,US → TN
AT,FR,AUT,FRA,6,1997,2012,2004,1989,2001,1996,AT → FR
GB,RU,GBR,RUS,6,1997,2010,2002,1994,2005,1999,GB → RU
HU,NO,HUN,NOR,6,2008,2013,2010,1995,2002,1999,HU → NO
CZ,CA,CZE,CAN,6,2000,2011,2005,1958,2003,1981,CZ → CA
PL,MX,POL,MEX,6,1969,2016,1995,1964,1999,1978,PL → MX
PL,NO,POL,NOR,6,1995,2016,2004,1987,2008,1997,PL → NO
HR,AT,HRV,AUT,6,2005,2016,2012,1984,2006,1998,HR → AT
ZW,US,ZWE,USA,6,1998,2016,2009,1987,2006,1997,ZW → US
DE,ET,DEU,ETH,6,1997,2014,2003,1991,2010,1999,DE → ET
DE,IS,DEU,ISL,6,1986,2016,2005,1981,2004,1997,DE → IS
AT,CA,AUT,CAN,6,1996,2016,2009,1993,2006,2000,AT → CA
MX,AR,MEX,ARG,6,2005,2016,2009,1980,2005,1993,MX → AR
ZA,DE,ZAF,DEU,6,2001,2006,2004,1980,2012,1996,ZA → DE
CZ,PT,CZE,PRT,5,2016,2016,2016,1978,2009,2001,CZ → PT
ZA,TZ,ZAF,TZA,5,2005,2014,2008,2002,2010,2006,ZA → TZ
PR,ES,PRI,ESP,5,1991,2016,2008,1986,2009,2000,PR → ES
DE,CY,DEU,CYP,5,1985,1995,1990,1979,1992,1985,DE → CY
HK,CA,HKG,CAN,5,2000,2016,2010,1993,2010,2004,HK → CA
GT,MX,GTM,MEX,5,2001,2014,2008,1962,2000,1977,GT → MX
ZW,BW,ZWE,BWA,5,,,,1991,2004,1998,ZW → BW
VN,TH,VNM,THA,5,2016,2016,2016,2000,2008,2003,VN → TH
MX,CR,MEX,CRI,5,2012,2013,2012,1976,2008,2000,MX → CR
GR,NO,GRC,NOR,5,1998,2014,2008,1984,2008,1997,GR → NO
AT,BR,AUT,BRA,5,1995,2005,2001,1990,2006,1999,AT → BR
UY,MX,URY,MEX,5,2005,2008,2007,1957,1992,1980,UY → MX
PL,FI,POL,FIN,5,2009,2016,2013,1998,2003,2001,PL → FI
CH,FI,CHE,FIN,5,1990,2013,2006,1969,2009,1997,CH → FI
PY,ES,PRY,ESP,5,2014,2016,2015,1997,2006,2003,PY → ES
ES,CN,ESP,CHN,5,2010,2016,2012,1994,2008,2003,ES → CN
IT,MY,ITA,MYS,5,2004,2016,2009,1993,2008,2003,IT → MY
MX,BE,MEX,BEL,5,2006,2016,2014,1993,2009,2003,MX → BE
AE,CA,ARE,CAN,5,2011,2016,2015,1998,2008,2004,AE → CA
CA,ID,CAN,IDN,5,1994,2008,1998,1989,1997,1992,CA → ID
CA,OM,CAN,OMN,5,2000,2009,2005,1979,2004,1997,CA → OM
IT,IN,ITA,IND,5,2010,2014,2012,1984,2011,2003,IT → IN
CA,PK,CAN,PAK,5,1982,2012,2002,1976,2009,2001,CA → PK
QA,US,QAT,USA,5,2006,2006,2006,1984,2008,2001,QA → US
PT,NO,PRT,NOR,5,2013,2016,2015,1998,2010,2003,PT → NO
US,UY,USA,URY,5,1999,2013,2006,1994,2008,2000,US → UY
MY,JO,MYS,JOR,5,2008,2014,2011,2003,2011,2007,MY → JO
MM,US,MMR,USA,5,,,,1971,2003,1989,MM → US
DE,CR,DEU,CRI,5,1998,1998,1998,1991,2002,1998,DE → CR
HU,PT,HUN,PRT,5,1995,2004,2000,1969,2005,1990,HU → PT
HU,FI,HUN,FIN,5,2002,2016,2008,1984,2007,1998,HU → FI
GB,RW,GBR,RWA,5,1993,2013,2003,1988,2012,2003,GB → RW
GB,PS,GBR,PSE,5,2010,2012,2011,2000,2012,2006,GB → PS
AT,CZ,AUT,CZE,5,2000,2008,2004,1989,2010,2003,AT → CZ
DE,PL,DEU,POL,5,2003,2011,2007,1989,2012,2003,DE → PL
US,RO,USA,ROU,5,2007,2012,2010,1998,2002,2000,US → RO
IT,AR,ITA,ARG,5,1998,2012,2007,1992,2004,2000,IT → AR
EG,YE,EGY,YEM,5,2009,2014,2012,1991,2011,2002,EG → YE
JO,DE,JOR,DEU,5,2015,2016,2016,2000,2009,2003,JO → DE
JO,CA,JOR,CAN,5,2013,2016,2015,1993,2005,2000,JO → CA
CL,AR,CHL,ARG,5,2016,2016,2016,2001,2009,2004,CL → AR
RS,FR,SRB,FRA,5,1989,2016,2001,1978,2006,1989,RS → FR
RS,ES,SRB,ESP,5,1993,2016,2006,1981,2006,1999,RS → ES
GB,TZ,GBR,TZA,5,1992,1999,1996,1988,2005,1995,GB → TZ
GB,MW,GBR,MWI,5,2005,2014,2010,1975,2010,1998,GB → MW
ID,SG,IDN,SGP,5,2015,2016,2016,1997,2008,2003,ID → SG
US,MO,USA,MAC,5,1992,2012,2005,1988,2006,1999,US → MO
US,KZ,USA,KAZ,5,1988,2011,2003,1982,2010,2002,US → KZ
US,JM,USA,JAM,5,1989,2011,2000,1985,2007,1997,US → JM
US,OM,USA,OMN,5,1986,2009,1996,1983,1998,1989,US → OM
AT,NL,AUT,NLD,5,2002,2010,2007,1978,2005,1995,AT → NL
AU,LK,AUS,LKA,5,1981,2009,1998,1977,2006,1996,AU → LK
JM,TT,JAM,TTO,5,2005,2016,2010,1967,2004,1979,JM → TT
CL,NL,CHL,NLD,5,2005,2016,2012,1994,2006,2002,CL → NL
CL,MX,CHL,MEX,5,1990,2016,2004,1978,2008,1997,CL → MX
RS,PT,SRB,PRT,5,1990,2010,2004,1979,2001,1994,RS → PT
RS,NL,SRB,NLD,5,2004,2016,2012,1989,2007,2002,RS → NL
CA,JO,CAN,JOR,5,1998,2013,2007,1994,2008,2003,CA → JO
ES,SA,ESP,SAU,5,2009,2009,2009,1975,2009,1998,ES → SA
LT,GB,LTU,GBR,5,2012,2016,2014,1995,2008,2002,LT → GB
LT,FR,LTU,FRA,5,2014,2014,2014,1968,2007,1996,LT → FR
NG,IN,NGA,IND,5,2016,2016,2016,1987,2008,1998,NG → IN
NG,IE,NGA,IRL,5,2016,2016,2016,1995,2007,2000,NG → IE
NG,GM,NGA,GMB,5,2015,2015,2015,1992,2005,1999,NG → GM
AU,BD,AUS,BGD,5,1989,2015,2006,1986,2010,2001,AU → BD
UA,IT,UKR,ITA,5,2008,2016,2013,1991,2005,2001,UA → IT
GB,ID,GBR,IDN,5,1990,2012,2004,1976,2009,1992,GB → ID
AU,VN,AUS,VNM,5,2007,2014,2012,1998,2010,2004,AU → VN
UG,TZ,UGA,TZA,5,,,,1998,2012,2005,UG → TZ
US,BW,USA,BWA,5,1976,2010,1997,1967,2008,1989,US → BW
UA,ES,UKR,ESP,5,1995,2016,2007,1978,2004,1990,UA → ES
RU,EG,RUS,EGY,5,1968,1982,1975,1963,2000,1980,RU → EG
RU,CZ,RUS,CZE,5,1984,1999,1992,1979,2003,1989,RU → CZ
PK,JP,PAK,JPN,5,2011,2016,2014,1998,2008,2003,PK → JP
ET,DK,ETH,DNK,5,2014,2016,2015,1999,2011,2003,ET → DK
CU,FR,CUB,FRA,5,2004,2016,2013,1986,2004,1999,CU → FR
DK,CA,DNK,CAN,5,1977,2005,1991,1971,1993,1984,DK → CA
LY,US,LBY,USA,5,,,,1983,2000,1992,LY → US
DE,VN,DEU,VNM,5,1997,2015,2008,1980,2005,1994,DE → VN
AZ,RU,AZE,RUS,5,,,,1969,1991,1979,AZ → RU
UG,CN,UGA,CHN,5,2016,2016,2016,2001,2008,2005,UG → CN
BD,IE,BGD,IRL,5,2001,2016,2008,1979,2008,1997,BD → IE
DK,FR,DNK,FRA,5,2004,2015,2010,2000,2012,2006,DK → FR
LT,DK,LTU,DNK,5,2006,2014,2011,1992,2004,1998,LT → DK
