iso3,IndicatorCode,Year,Value,IndicatorName
WLD,GB.XPD.RSDV.GD.ZS,2005,1.9888678850066104,Gasto I+D (% PIB)
WLD,SP.POP.SCIE.RD.P6,2005,1206.57748984922,Investigadores por millón hab.
AFG,NY.GDP.PCAP.CD,2005,257.175794656273,PIB per cápita (USD)
AFG,SP.POP.TOTL,2005,24399948.0,Población total
ALB,NY.GDP.PCAP.CD,2005,2709.1429305620104,PIB per cápita (USD)
ALB,SP.POP.TOTL,2005,3011487.0,Población total
DZA,NY.GDP.PCAP.CD,2005,3102.0373842267304,PIB per cápita (USD)
DZA,SP.POP.TOTL,2005,33267887.0,Población total
DZA,GB.XPD.RSDV.GD.ZS,2005,0.06604,Gasto I+D (% PIB)
DZA,SP.POP.SCIE.RD.P6,2005,168.12009,Investigadores por millón hab.
ASM,SP.POP.TOTL,2005,59117.0,Población total
ASM,SP.POP.SCIE.RD.P6,2005,101.49365234375,Investigadores por millón hab.
ADO,NY.GDP.PCAP.CD,2005,39990.3304085679,PIB per cápita (USD)
ADO,SP.POP.TOTL,2005,81223.0,Población total
AGO,NY.GDP.PCAP.CD,2005,2063.92220212918,PIB per cápita (USD)
AGO,SP.POP.TOTL,2005,17912942.0,Población total
ATG,NY.GDP.PCAP.CD,2005,12079.8656950416,PIB per cápita (USD)
ATG,SP.POP.TOTL,2005,82565.0,Población total
ARG,NY.GDP.PCAP.CD,2005,5640.84850283585,PIB per cápita (USD)
ARG,SP.POP.TOTL,2005,39145491.0,Población total
ARG,GB.XPD.RSDV.GD.ZS,2005,0.37868,Gasto I+D (% PIB)
ARG,SP.POP.SCIE.RD.P6,2005,814.09121,Investigadores por millón hab.
ARM,NY.GDP.PCAP.CD,2005,1625.40776912682,PIB per cápita (USD)
ARM,SP.POP.TOTL,2005,3014917.0,Población total
ARM,GB.XPD.RSDV.GD.ZS,2005,0.25761,Gasto I+D (% PIB)
